Test Name, Test Status, Test Start Time, Test End Time, Test Run Time
DBC/IP2_multiIPDBC_tgtIncompUcast/,PASS,Mon 11/24/2014 21:38:47,Mon 11/24/2014 21:49:14,0:10:27
DBC/IP2_multiIPDBC_tgtMultipleBcast/,PASS,Mon 11/24/2014 21:49:14,Mon 11/24/2014 21:58:24,0:09:10
DBC/IP2_multiIPDBC_tgtMultipleUcast/,PASS,Mon 11/24/2014 21:58:24,Mon 11/24/2014 22:06:57,0:08:33
DBC/IP2_multiIPDBC_tgtNormal/,PASS,Mon 11/24/2014 22:06:57,Mon 11/24/2014 22:17:49,0:10:52
DBC/IP2_multiIPDBC_tgtUcastCRC/,PASS,Mon 11/24/2014 22:17:49,Mon 11/24/2014 22:28:16,0:10:27
DCM/DCM001/,PASS,Wed 11/26/2014 12:09:41,Wed 11/26/2014 12:10:03,0:00:22
DCM/DCM006/,PASS,Wed 11/26/2014 12:11:38,Wed 11/26/2014 12:12:00,0:00:22
DCM/DCM009/,PASS,Wed 11/26/2014 12:29:25,Wed 11/26/2014 12:29:51,0:00:26
DCM/DCM010/,FAIL,Wed 11/26/2014 12:34:05,Wed 11/26/2014 12:37:08,0:03:03
DCM/DCM011/,PASS,Wed 11/26/2014 12:42:50,Wed 11/26/2014 12:43:09,0:00:19
DCM/DCM012/,PASS,Wed 11/26/2014 12:44:04,Wed 11/26/2014 12:44:28,0:00:24
DCM/DCM013/,PASS,Wed 11/26/2014 12:44:36,Wed 11/26/2014 12:44:57,0:00:21
DCM/DCM014/,PASS,Wed 11/26/2014 12:47:06,Wed 11/26/2014 12:47:27,0:00:21
DDR/DDR001/,PASS,Sat 11/22/2014 17:50:58,Sat 11/22/2014 18:04:10,0:13:12
DDR/DDR002/,PASS,Sat 11/22/2014 18:04:13,Sat 11/22/2014 18:05:04,0:00:51
DDR/DDR003/,PASS,Sat 11/22/2014 18:05:06,Sat 11/22/2014 18:20:09,0:15:03
GLCK/IP2_TgtOnlyBNCMult1/,PASS,Sat 11/22/2014  4:08:40,Sat 11/22/2014  4:12:19,0:03:39
GLCK/IP2_gl_24khzfreqMult2/,PASS,Sat 11/22/2014  0:37:47,Sat 11/22/2014  0:44:09,0:06:22
GLCK/IP2_gl_GlckAtHsFe3/,PASS,Sat 11/22/2014  0:30:25,Sat 11/22/2014  0:34:05,0:03:40
GLCK/IP2_gl_HSLDsyChnWithoutGlEn/,PASS,Sat 11/22/2014  0:34:05,Sat 11/22/2014  0:37:47,0:03:42
GLCK/IP2_gl_MaxDlyCntChk/,PASS,Sat 11/22/2014  0:44:09,Sat 11/22/2014  0:47:49,0:03:40
GLCK/IP2_gl_MinDlyCntChk/,PASS,Sat 11/22/2014  0:47:49,Sat 11/22/2014  0:51:27,0:03:38
GLCK/IP2_gl_MstPriorityChk/,PASS,Sat 11/22/2014  0:51:27,Sat 11/22/2014  0:55:05,0:03:38
GLCK/IP2_gl_MstrHSLOnly/,PASS,Sat 11/22/2014  0:55:06,Sat 11/22/2014  0:58:48,0:03:42
GLCK/IP2_gl_MstrInternalVsync/,PASS,Sat 11/22/2014  0:58:48,Sat 11/22/2014  1:04:18,0:05:30
GLCK/IP2_gl_MstrMaxMinFreqChk/,FAIL,1/12/2014 12:59,1/12/2014 13:08,23:08:40
GLCK/IP2_gl_MstrSrcSyncHighFreq/,PASS,Sat 11/22/2014  1:57:33,Sat 11/22/2014  2:27:34,0:30:01
GLCK/IP2_gl_MstrSrcSyncMode/,PASS,Sat 11/22/2014  1:30:54,Sat 11/22/2014  1:57:33,0:26:39
GLCK/IP2_gl_NTSC30khzfreqMult0/,PASS,Sat 11/22/2014  2:27:34,Sat 11/22/2014  2:31:18,0:03:44
GLCK/IP2_gl_NTSC30khzfreqMult1/,PASS,Sat 11/22/2014  2:31:18,Sat 11/22/2014  2:34:59,0:03:41
GLCK/IP2_gl_PAL25khzfreqMult0/,PASS,Sat 11/22/2014  2:34:59,Sat 11/22/2014  2:38:40,0:03:41
GLCK/IP2_gl_PAL25khzfreqMult1/,PASS,Sat 11/22/2014  2:38:40,Sat 11/22/2014  2:42:20,0:03:40
GLCK/IP2_gl_RNTSC29.97khzfreqMult0/,PASS,Sat 11/22/2014  2:42:20,Sat 11/22/2014  2:46:03,0:03:43
GLCK/IP2_gl_RNTSC29.97khzfreqMult1/,PASS,Sat 11/22/2014  2:46:03,Sat 11/22/2014  2:49:43,0:03:40
GLCK/IP2_gl_TgtHSLCblRemoval/,PASS,Sat 11/22/2014  2:49:43,Sat 11/22/2014  2:55:44,0:06:01
GLCK/IP2_gl_TgtHSLCblRemovalMult1/,PASS,Sat 11/22/2014  2:55:44,Sat 11/22/2014  3:01:38,0:05:54
GLCK/IP2_gl_TgtHSLIpPulseMissing/,PASS,Sat 11/22/2014  3:01:39,Sat 11/22/2014  3:07:10,0:05:31
GLCK/IP2_gl_TgtHSLMaxMinFreqChk/,FAIL,1/12/2014 12:45,1/12/2014 12:54,0:08:32
GLCK/IP2_gl_TgtHSLOnlyMultiplierChk/,PASS,Sat 11/22/2014  3:07:10,Sat 11/22/2014  3:10:51,0:03:41
GLCK/IP2_gl_TgtHSLOnlyToCat6Chk/,PASS,Sat 11/22/2014  3:10:51,Sat 11/22/2014  3:15:24,0:04:33
GLCK/IP2_gl_TgtHSLOnlyToCat6Mult1/,PASS,Sat 11/22/2014  3:15:25,Sat 11/22/2014  3:19:04,0:03:39
GLCK/IP2_gl_TgtHSLOnlyToCat6PAL/,PASS,Sat 11/22/2014  3:19:04,Sat 11/22/2014  3:23:37,0:04:33
GLCK/IP2_gl_TgtHSLOnlyToCat6PALMult1/,PASS,Sat 11/22/2014  3:23:37,Sat 11/22/2014  3:27:17,0:03:40
GLCK/IP2_gl_TgtHSLOnlyToCat6RNTSC/,PASS,Sat 11/22/2014  3:27:17,Sat 11/22/2014  3:31:52,0:04:35
GLCK/IP2_gl_TgtHSLOnlyToCat6RNTSCMult1/,PASS,Sat 11/22/2014  3:31:52,Sat 11/22/2014  3:35:33,0:03:41
GLCK/IP2_gl_TgtInternalVsync/,PASS,Sat 11/22/2014  3:35:33,Sat 11/22/2014  3:41:00,0:05:27
GLCK/IP2_gl_TgtMaxMinFreqChk/,FAIL,1/12/2014 12:45,1/12/2014 12:54,0:08:32
GLCK/IP2_gl_TgtOnlyBNC/,PASS,Sat 11/22/2014  3:41:00,Sat 11/22/2014  3:44:41,0:03:41
GLCK/IP2_gl_TgtOnlyBNCPAL/,PASS,Sat 11/22/2014  3:44:41,Sat 11/22/2014  3:48:23,0:03:42
GLCK/IP2_gl_TgtOnlyBNCPALMult1/,PASS,Sat 11/22/2014  3:48:23,Sat 11/22/2014  3:52:03,0:03:40
GLCK/IP2_gl_TgtOnlyBNCRNTSC/,PASS,Sat 11/22/2014  3:52:03,Sat 11/22/2014  3:55:47,0:03:44
GLCK/IP2_gl_TgtOnlyBNCRNTSCMult1/,PASS,Sat 11/22/2014  3:55:47,Sat 11/22/2014  3:59:27,0:03:40
GLCK/IP2_gl_TgtPriorityChk/,PASS,Sat 11/22/2014  3:59:27,Sat 11/22/2014  4:04:03,0:04:36
GLCK/IP2_gl_TgtPriorityChkMult1/,PASS,Sat 11/22/2014  4:04:03,Sat 11/22/2014  4:08:40,0:04:37
HSL/HSL001/,PASS,Sat 11/22/2014 21:55:15,Sat 11/22/2014 21:58:47,0:03:32
HSL/HSL002/,PASS,Sat 11/22/2014 21:58:47,Sat 11/22/2014 22:02:28,0:03:41
HSL/HSL003/,PASS,Sat 11/22/2014 22:02:29,Sat 11/22/2014 22:05:40,0:03:11
HSL/HSL004/,PASS,Sat 11/22/2014 22:05:40,Sat 11/22/2014 22:09:08,0:03:28
HSL/HSL005/,PASS,Sat 11/22/2014 22:09:09,Sat 11/22/2014 22:12:19,0:03:10
HSL/HSL006/,PASS,Sat 11/22/2014 22:12:19,Sat 11/22/2014 22:19:13,0:06:54
HSL/HSL007/,PASS,Sat 11/22/2014 22:19:13,Sat 11/22/2014 22:22:38,0:03:25
HSL/HSL008/,PASS,Sat 11/22/2014 22:22:38,Sat 11/22/2014 22:26:04,0:03:26
HSL/HSL009/,PASS,Sat 11/22/2014 22:26:04,Sat 11/22/2014 22:29:32,0:03:28
HSL/HSL010/,PASS,Sat 11/22/2014 22:29:32,Sat 11/22/2014 22:34:09,0:04:37
HSL/HSL011/,PASS,Sat 11/22/2014 22:34:09,Sat 11/22/2014 22:38:47,0:04:38
HSL/HSL012/,PASS,Sat 11/22/2014 22:38:47,Sat 11/22/2014 22:43:25,0:04:38
HSL/HSL013/,PASS,Sat 11/22/2014 22:43:25,Sat 11/22/2014 22:47:58,0:04:33
HSL/HSL014/,PASS,Sat 11/22/2014 22:47:58,Sat 11/22/2014 22:52:32,0:04:34
HSL/HSL015/,PASS,Sat 11/22/2014 22:52:32,Sat 11/22/2014 22:57:09,0:04:37
HSL/HSL016/,PASS,Tue 12/02/2014 14:08:30,Tue 12/02/2014 14:13:21,0:04:51
HSL/HSL017/,PASS,Sat 11/22/2014 23:01:02,Sat 11/22/2014 23:05:39,0:04:37
HSL/HSL018/,PASS,Tue 11/25/2014 10:37:34,Tue 11/25/2014 10:49:31,0:11:57
HSL/HSL019/,PASS,Sat 11/22/2014 23:17:07,Sat 11/22/2014 23:21:39,0:04:32
HSL/HSL020/,PASS,Sat 11/22/2014 23:21:39,Sat 11/22/2014 23:29:41,0:08:02
HSL/HSL021/,PASS,Sat 11/22/2014 23:29:41,Sat 11/22/2014 23:34:13,0:04:32
HSL/HSL024/,PASS,Sat 11/22/2014 23:48:38,Sat 11/22/2014 23:53:11,0:04:33
HSL/HSL026/,PASS,Sat 11/22/2014 23:53:11,Sat 11/22/2014 23:58:24,0:05:13
HSL/HSL029/,PASS,Thu 11/27/2014 16:13:04,Thu 11/27/2014 16:20:14,0:07:10
HSL/HSL030/,PASS,Thu 11/27/2014 16:23:45,Thu 11/27/2014 16:28:54,0:05:09
HSL/HSL031/,PASS,Thu 11/27/2014 17:26:41,Thu 11/27/2014 17:31:39,0:04:58
HSL/HSL036/,PASS,Sun 11/23/2014  0:24:00,Sun 11/23/2014  0:29:22,0:05:22
HSL/HSL037/,PASS,Sun 11/23/2014  0:29:22,Sun 11/23/2014  0:32:49,0:03:27
HSL/HSL038/,PASS,Sun 11/23/2014  0:32:49,Sun 11/23/2014  0:36:25,0:03:36
HSL/HSL039/,PASS,Tue 11/25/2014 10:55:28,Tue 11/25/2014 11:00:05,0:05:37
HSL/HSL040/,PASS,Tue 11/25/2014 11:00:05,Tue 11/25/2014 11:02:45,0:02:40
HSL/HSL041/,PASS,Tue 11/25/2014 11:02:45,Tue 11/25/2014 11:06:03,0:03:18
HSL/HSL042/,PASS,Mon 12/01/2014 16:22:15,Mon 12/01/2014 16:26:34,0:04:19
HSL/HSL043/,PASS,Tue 11/25/2014 11:10:41,Tue 11/25/2014 11:15:37,0:04:56
HSL/HSL044/,PASS,Tue 11/25/2014 11:15:37,Tue 11/25/2014 11:20:17,0:04:40
HSL/HSL045/,PASS, 9:12:38, 9:19:40,0:07:02
HSL/HSL046/,PASS,Mon 11/24/2014  9:19:41,Mon 11/24/2014  9:23:33,0:03:52
HSL/HSL047/,PASS,Mon 11/24/2014  9:23:33,Mon 11/24/2014  9:27:36,0:04:03
SMAP/IP2_SMAP_BcktoBckBBPlseGrtDly/,PASS,Sat 11/22/2014  0:26:22,Sat 11/22/2014  0:29:09,0:02:47
SMAP/IP2_smap_ADCDataRcvd1ClkB4HS/,PASS,Sat 11/22/2014  0:20:19,Sat 11/22/2014  0:21:31,0:01:12
SMAP/IP2_smap_ADCDataRcvdDuringHS/,PASS,Sat 11/22/2014  0:21:31,Sat 11/22/2014  0:22:38,0:01:07
SMAP/IP2_smap_BBPlseDuringHS/,PASS,Sat 11/22/2014  0:23:53,Sat 11/22/2014  0:25:07,0:01:14
SMAP/IP2_smap_Basic/,PASS,Sat 11/22/2014  0:22:38,Sat 11/22/2014  0:23:53,0:01:15
SMAP/IP2_smap_BcktoBckBBPlse/,PASS,Sat 11/22/2014  0:25:07,Sat 11/22/2014  0:26:22,0:01:15
SMAP/IP2_smap_SensortoIPCblRmvl/,PASS,Sat 11/22/2014  0:29:09,Sat 11/22/2014  0:30:25,0:01:16
SPI/SPI001/,PASS,Sat 11/22/2014 20:40:31,Sat 11/22/2014 20:41:22,0:00:51
SPI/SPI003/,PASS,Sat 11/22/2014 20:41:22,Sat 11/22/2014 20:42:15,0:00:53
SPI/SPI004/,PASS,Sat 11/22/2014 20:42:15,Sat 11/22/2014 20:43:08,0:00:53
SPI/SPI005/,PASS,Sat 11/22/2014 20:43:08,Sat 11/22/2014 20:44:19,0:01:11
SPI/SPI007/,PASS,Sat 11/22/2014 20:44:19,Sat 11/22/2014 20:45:49,0:01:30
SPI/SPI008/,PASS,Sat 11/22/2014 20:45:49,Sat 11/22/2014 20:47:21,0:01:32
SPI/SPI009/,PASS,Sat 11/22/2014 20:47:21,Sat 11/22/2014 20:48:56,0:01:35
SPI/SPI010/,PASS,Sat 11/22/2014 20:48:56,Sat 11/22/2014 20:54:03,0:05:07
SYS/IP2_sys_DBCGlckTileRdChk/,PASS,Fri 11/21/2014 22:43:02,Fri 11/21/2014 22:46:49,0:03:47
SYS/IP2_sys_DBCGlckTileWrChk/,PASS,Fri 11/21/2014 22:46:49,Fri 11/21/2014 22:50:38,0:03:49
SYS/IP2_sys_DBCMissToTile/,PASS,Fri 11/21/2014 22:50:38,Fri 11/21/2014 22:54:23,0:03:45
SYS/IP2_sys_DBCTileUpgrdChk/,PASS,Fri 11/21/2014 22:54:23,Fri 11/21/2014 23:01:32,0:07:09
SYS/IP2_sys_FrmSyncBlnkPrd/,PASS,Fri 11/21/2014 23:01:32,Fri 11/21/2014 23:06:47,0:05:15
SYS/IP2_sys_FrmSyncTileUpgrdChk/,PASS,Fri 11/21/2014 23:06:47,Fri 11/21/2014 23:11:44,0:04:57
SYS/IP2_sys_GlDBCOnOffChk/,PASS,Fri 11/21/2014 23:19:18,Fri 11/21/2014 23:24:04,0:04:46
SYS/IP2_sys_GlFrmSyncChk/,FAIL,1/12/2014 11:22,1/12/2014 11:34,0:12:05
SYS/IP2_sys_GlTileUpgrdChk/,PASS,Fri 11/21/2014 23:32:43,Fri 11/21/2014 23:36:26,0:03:43
SYS/IP2_sys_GlTileWrChk/,PASS,Fri 11/21/2014 23:36:26,Fri 11/21/2014 23:40:07,0:03:41
SYS/IP2_sys_GlckTileRdAtHS/,PASS,Fri 11/21/2014 23:11:44,Fri 11/21/2014 23:15:33,0:03:49
SYS/IP2_sys_GlckTileRdB4HS/,PASS,Fri 11/21/2014 23:15:33,Fri 11/21/2014 23:19:18,0:03:45
SYS/IP2_sys_NatRstChk/,PASS,Fri 11/21/2014 23:40:07,Fri 11/21/2014 23:42:02,0:01:55
SYS/IP2_sys_SPIBurstDBCChk/,PASS,Fri 11/21/2014 23:43:47,Fri 11/21/2014 23:50:56,0:07:09
SYS/IP2_sys_SPIBurstGlTileUpgrdChk/,PASS,Fri 11/21/2014 23:50:56,Fri 11/21/2014 23:54:40,0:03:44
SYS/IP2_sys_SmapDBCChk/,PASS,Fri 11/21/2014 23:42:03,Fri 11/21/2014 23:43:47,0:01:44
SYS/IP2_sys_TIleRdMaxDlyChk/,PASS,Fri 11/21/2014 23:54:40,Fri 11/21/2014 23:58:28,0:03:48
SYS/IP2_sys_TileUpgradeGlMaxCntChk/,PASS,Fri 11/21/2014 23:58:28,Sat 11/22/2014  0:02:07,0:03:39
SYS/IP2_sys_TileWfifoOvrFlwchk/,PASS,Mon 11/24/2014 16:58:41,Mon 11/24/2014 17:21:27,0:22:46
UFY/UFY001/,PASS,Fri 11/21/2014 19:33:14,Fri 11/21/2014 19:50:23,0:17:09
UFY/UFY002/,PASS,Fri 11/21/2014 19:50:28,Fri 11/21/2014 20:06:58,0:16:30
UFY/UFY003/,PASS,Fri 11/21/2014 20:07:02,Fri 11/21/2014 20:23:26,0:16:24
UFY/UFY004/,PASS,Fri 11/21/2014 20:23:30,Fri 11/21/2014 20:39:51,0:16:21
UFY/UFY005/,PASS,Fri 11/21/2014 20:39:55,Fri 11/21/2014 20:56:33,0:16:38
UFY/UFY006/,PASS,Fri 11/21/2014 20:56:37,Fri 11/21/2014 21:10:04,0:13:27
UFY/UFY007/,PASS,Fri 11/21/2014 21:10:08,Fri 11/21/2014 21:23:31,0:13:23
UFY/UFY008/,PASS,Fri 11/21/2014 21:23:35,Fri 11/21/2014 21:37:13,0:13:38
UFY/UFY009/,PASS,Fri 11/21/2014 21:37:17,Fri 11/21/2014 21:49:50,0:12:33
UFY/UFY010/,PASS,Fri 11/21/2014 21:49:54,Fri 11/21/2014 22:02:34,0:12:40
UFY/UFY011/,PASS,Fri 11/21/2014 22:02:38,Fri 11/21/2014 22:16:02,0:13:24
UFY/UFY012/,PASS,Mon 11/24/2014 22:28:19,Mon 11/24/2014 23:36:06,0:07:47
UFY/UFY014/,PASS,Mon 11/24/2014 23:36:08,Mon 11/24/2014 23:39:05,0:02:57
UFY/UFY016/,PASS,Mon 11/24/2014 23:39:07,Mon 11/24/2014 23:55:29,0:16:22
UFY/UFY017/,PASS,Mon 11/24/2014 23:55:32,Tue 11/25/2014  0:09:38,0:14:06
UFY/UFY018/,FAIL,Fri 11/21/2014 22:29:42,Fri 11/21/2014 22:43:00,0:13:18
UFY/UFY020/,FAIL,Tue 11/25/2014  0:09:43,Tue 11/25/2014  0:23:34,0:13:51
VID/VID005/,PASS,Mon 11/24/2014  9:27:39,Mon 11/24/2014  9:42:05,0:14:26
VID/VID006/,PASS,Mon 11/24/2014  9:42:09,Mon 11/24/2014 10:00:24,0:18:15
VID/VID007/,PASS,Mon 11/24/2014 10:00:32,Mon 11/24/2014 10:15:12,0:14:40
VID/VID008/,PASS,Mon 11/24/2014 10:15:17,Mon 11/24/2014 10:30:09,0:14:52
VID/VID009/,PASS,Mon 11/24/2014 15:30:01,Mon 11/24/2014 15:45:23,0:15:22
VID/VID010/,PASS,Mon 11/24/2014 15:45:25,Mon 11/24/2014 16:05:52,0:20:27
VID/VID011/,PASS,Mon 11/24/2014 16:05:57,Mon 11/24/2014 16:22:18,0:16:21
VID/VID012/,PASS,Mon 11/24/2014 16:22:21,Mon 11/24/2014 16:38:00,0:15:39
VID/VID013/,FAIL,Tue 12/02/2014 14:42:51,Tue 12/02/2014 15:01:05,0:18:14
,,,Total Time,45:46:56
,,,Total Tests,194
,,,Total Tests Passed,186
,,,Total Tests Failed,8
,,,Total Tests Not Complete,0
